Job_Title,Company_Name,Ratings,Location,Salary_Estimates,Company_Size,Founding_Year,Type,Industry,Sector,Revenue,Min_Salary,Max_Salary,Avg_Salary,Age
Senior AR Analyst,BP Energy,3.9,Pune,6 - 7 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),5.0,8.0,6.5,117
Systems and Performance Insights Analyst - TSI,BP Energy,3.9,Pune,5 - 8 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),3.0,7.0,5.0,117
Risk Assurance - Senior Analyst,Sanofi EU,4.0,Hyderābād,3 - 7 ,10000+ Employees,1973,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD),7.0,10.0,8.5,52
FP&A Control Senior Analyst Oil & Gas,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
FP&A Cost Performance Sr Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
FP&A O&G Data Modelling Senior Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),3.0,10.0,6.5,117
Analyst EDC Data Acquisition Expert - Mumbai/Bangalore/Hyderabad,Johnson & Johnson,4.1,Mumbai,3 - 10 ,10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD),4.0,8.0,6.0,138
Data Analyst,Cindrebay School of Design,4.3,Cannanore,4 - 8 ,Unknown,-1,Company - Public,--,--,Unknown / Non-Applicable,7.0,10.0,8.5,-1
Global Planning Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),3.0,5.0,4.0,117
FBT Data Operations - Document Control & Engineering Data Senior Analyst,BP Energy,3.9,Pune,3 - 5 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),3.0,8.0,5.5,117
Inventory Analyst,BP Energy,3.9,Pune,3 - 8 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),4.0,7.0,5.5,117
Senior Credit Risk Analyst,BP Energy,3.9,Pune,4 - 7 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),4.0,8.0,6.0,117
